feature,importance_shap
cat__discharge_disposition_id_1,0.21932012176090912
num__time_in_hospital,0.08726183123546655
num__number_inpatient,0.08097966852279644
cat__diag_1_Circulatoire,0.08033930112909829
num__score_risque_hospitalier,0.06805566310493437
num__diabetesMed,0.0670928288597448
num__num_lab_procedures,0.05395229236567883
num__age_numeric,0.05203794649639048
num__num_medications,0.04024759907431194
cat__discharge_disposition_id_6,0.03471392223522037
num__number_diagnoses,0.030871127626390042
num__metformin,0.028138797249068308
cat__discharge_disposition_id_22,0.028029811572845762
cat__diag_2_Respiratoire,0.024828273925058576
num__ratio_medicaments_procedures,0.02389622232114277
num__insulin,0.02373415526512088
cat__medical_specialty_Cardiology,0.022555021917002822
cat__diag_2_Diabete,0.020990022676454712
num__age_group,0.019668386447652737
cat__discharge_disposition_id_3,0.0190908112388011
cat__medical_specialty_Orthopedics-Reconstructive,0.01775360324268995
cat__diag_3_Autre,0.017124397107547335
cat__discharge_disposition_id_23,0.015906814076573822
cat__admission_source_id_1,0.01582104069203143
cat__diag_1_Musculo_squelettique,0.015374096331013797
cat__admission_source_id_4,0.013604275450935444
num__A1Cresult,0.012928718196755305
cat__discharge_disposition_id_5,0.012497733291056506
cat__medical_specialty_Emergency/Trauma,0.0119901057487442
cat__diag_1_Respiratoire,0.011769069600271506
cat__discharge_disposition_id_25,0.011704048999200191
num__A1C_mesure,0.010622389767370781
cat__diag_1_Autre,0.010084449432965636
num__num_procedures,0.009994157937602898
cat__diag_2_Neoplasmes,0.009931696098487201
cat__diag_1_Diabete,0.00963852983874609
cat__diag_3_Digestif,0.008353448493047673
num__number_emergency,0.008320606454007786
cat__admission_type_id_1,0.008223804011392563
cat__admission_type_id_5,0.007799762521103651
cat__diag_3_Diabete,0.00736474957747425
num__number_outpatient,0.007298072342770509
num__patient_complexe,0.0069660093929540465
cat__medical_specialty_ObstetricsandGynecology,0.0068512935854764916
num__glipizide,0.006760528807886189
cat__race_Caucasian,0.006720506024857778
cat__diag_3_Respiratoire,0.006221954681445661
num__gender,0.005648212449613764
num__pioglitazone,0.005461560218984367
cat__discharge_disposition_id_2,0.00524450710050431
cat__diag_1_Genito_urinaire,0.0048964774048192265
cat__medical_specialty_InternalMedicine,0.004529998996733066
num__glyburide,0.0043583934100317094
cat__admission_type_id_2,0.004356934402681747
cat__admission_type_id_3,0.004080765025531207
cat__admission_source_id_7,0.003969517036363152
cat__admission_type_id_6,0.0038160251505583295
cat__medical_specialty_Family/GeneralPractice,0.00377613207408299
num__glimepiride,0.0037025799859514113
cat__admission_source_id_5,0.0034909330535513056
num__repaglinide,0.003433838652342067
num__change,0.0034011577765706838
cat__diag_3_Neoplasmes,0.0032531498942510073
cat__medical_specialty_missing,0.003194412358138174
num__glucose_mesure,0.0031559144978070743
cat__race_Hispanic,0.0030202565759698038
cat__medical_specialty_Hematology/Oncology,0.0029827169849237414
cat__medical_specialty_Orthopedics,0.0028304110723419095
cat__diag_3_Circulatoire,0.0027461394735771127
cat__medical_specialty_Nephrology,0.0026883634200933993
cat__diag_1_Blessure,0.0026308931871128296
cat__diag_2_Autre,0.002605663094918312
cat__diag_2_Genito_urinaire,0.0025256818748395763
cat__medical_specialty_Surgery-Cardiovascular/Thoracic,0.002491206457369738
cat__discharge_disposition_id_28,0.002048053806308345
cat__diag_2_Blessure,0.0019729427741798917
cat__diag_1_Neoplasmes,0.001971033088434835
cat__admission_source_id_17,0.0018804853101124972
cat__race_AfricanAmerican,0.0018234574126669964
cat__admission_source_id_2,0.0017438125850181986
cat__medical_specialty_Radiologist,0.0017416246948396637
cat__medical_specialty_Surgery-Neuro,0.0017108375781559088
cat__medical_specialty_Psychiatry,0.0017009556066166901
cat__diag_2_Musculo_squelettique,0.0016152584897279202
cat__admission_source_id_3,0.0015626770371280475
cat__medical_specialty_Pediatrics,0.0015480120662654672
num__max_glu_serum,0.00153895689410612
cat__diag_2_Digestif,0.0015166010048624184
cat__diag_3_Genito_urinaire,0.0015015792084412155
cat__medical_specialty_Oncology,0.0014231590411550418
cat__diag_1_Digestif,0.0014203541263483734
cat__medical_specialty_Otolaryngology,0.00141237225114409
cat__admission_type_id_8,0.0014055727013845634
cat__medical_specialty_Surgery-General,0.0013884911273118064
cat__race_Other,0.0013030409864055303
cat__medical_specialty_Pediatrics-Endocrinology,0.0012946527670793496
cat__diag_3_Blessure,0.0012557651946253838
cat__diag_2_Circulatoire,0.0011797225102399376
cat__race_missing,0.0011303118608037806
cat__diag_3_Musculo_squelettique,0.0010945873601039225
cat__discharge_disposition_id_7,0.0009009398657641552
num__nateglinide,0.0006812043915089669
num__rosiglitazone,0.0006448796584702646
cat__admission_source_id_9,0.0005972044251203779
cat__medical_specialty_Gastroenterology,0.0005957849523989988
num__glyburide-metformin,0.000553686159185872
cat__medical_specialty_Endocrinology,0.00044499683902942685
cat__discharge_disposition_id_18,0.0004297514460036478
cat__medical_specialty_Urology,0.0003996191282235967
cat__admission_source_id_20,0.00031759222256447705
cat__admission_source_id_6,0.00010857320193919924
cat__race_Asian,0.00010565412233742624
num__chlorpropamide,8.995710343780501e-05
cat__discharge_disposition_id_4,8.956454265091327e-05
cat__medical_specialty_Surgery-Cardiovascular,3.0551085347556584e-05
cat__discharge_disposition_id_8,2.8374803893072837e-05
cat__medical_specialty_Surgery-Vascular,2.6127360724288353e-05
num__miglitol,0.0
num__troglitazone,0.0
num__tolazamide,0.0
num__acetohexamide,0.0
num__tolbutamide,0.0
cat__discharge_disposition_id_15,0.0
cat__discharge_disposition_id_12,0.0
cat__discharge_disposition_id_10,0.0
cat__admission_type_id_7,0.0
cat__admission_type_id_4,0.0
num__metformin-pioglitazone,0.0
num__glipizide-metformin,0.0
num__metformin-rosiglitazone,0.0
num__acarbose,0.0
cat__medical_specialty_Dentistry,0.0
cat__medical_specialty_Cardiology-Pediatric,0.0
cat__medical_specialty_Anesthesiology-Pediatric,0.0
cat__medical_specialty_Endocrinology-Metabolism,0.0
cat__medical_specialty_DCPTEAM,0.0
cat__medical_specialty_Neurophysiology,0.0
cat__medical_specialty_Obsterics&Gynecology-GynecologicOnco,0.0
cat__medical_specialty_AllergyandImmunology,0.0
cat__medical_specialty_Anesthesiology,0.0
cat__admission_source_id_10,0.0
cat__admission_source_id_11,0.0
cat__admission_source_id_13,0.0
cat__discharge_disposition_id_17,0.0
cat__discharge_disposition_id_16,0.0
cat__discharge_disposition_id_24,0.0
cat__discharge_disposition_id_27,0.0
cat__discharge_disposition_id_9,0.0
cat__admission_source_id_22,0.0
cat__admission_source_id_8,0.0
cat__admission_source_id_25,0.0
cat__medical_specialty_Dermatology,0.0
cat__medical_specialty_Gynecology,0.0
cat__medical_specialty_Hematology,0.0
cat__medical_specialty_Osteopath,0.0
cat__medical_specialty_Ophthalmology,0.0
cat__medical_specialty_Obstetrics,0.0
cat__medical_specialty_Hospitalist,0.0
cat__medical_specialty_InfectiousDiseases,0.0
cat__medical_specialty_Neurology,0.0
cat__medical_specialty_SportsMedicine,0.0
cat__medical_specialty_Surgeon,0.0
cat__medical_specialty_Surgery-Plastic,0.0
cat__medical_specialty_Surgery-Pediatric,0.0
cat__medical_specialty_Surgery-Maxillofacial,0.0
cat__medical_specialty_Surgery-Colon&Rectal,0.0
cat__medical_specialty_Rheumatology,0.0
cat__medical_specialty_Speech,0.0
cat__medical_specialty_Psychiatry-Addictive,0.0
cat__medical_specialty_Psychiatry-Child/Adolescent,0.0
cat__medical_specialty_OutreachServices,0.0
cat__medical_specialty_Pediatrics-Hematology-Oncology,0.0
cat__medical_specialty_Pediatrics-EmergencyMedicine,0.0
cat__medical_specialty_Pediatrics-CriticalCare,0.0
cat__medical_specialty_Pathology,0.0
cat__medical_specialty_PhysicalMedicineandRehabilitation,0.0
cat__medical_specialty_Pediatrics-Pulmonology,0.0
cat__medical_specialty_Pediatrics-Neurology,0.0
cat__medical_specialty_Radiology,0.0
cat__medical_specialty_Pulmonology,0.0
cat__medical_specialty_Psychology,0.0
cat__medical_specialty_Perinatology,0.0
cat__medical_specialty_PhysicianNotFound,0.0
cat__medical_specialty_Podiatry,0.0
cat__medical_specialty_SurgicalSpecialty,0.0
cat__medical_specialty_Surgery-Thoracic,0.0
